 Fecha, num estacion, CAPE, CINS
 01 Jan 2015, 76225, 0.00, 0.00
 02 Jan 2015, 76225, 0.00, 0.00
 03 Jan 2015, 76225, 0.00, 0.00
 04 Jan 2015, 76225, 0.00, 0.00
 05 Jan 2015, 76225, 0.00, 0.00
 06 Jan 2015, 76225, 0.00, 0.00
 07 Jan 2015, 76225, 0.00, 0.00
 31 Jan 2015, 76225, 0.00, 0.00
 03 Feb 2015, 76225, 0.00, 0.00
 04 Feb 2015, 76225, 0.00, 0.00
 05 Feb 2015, 76225, 0.00, 0.00
 06 Feb 2015, 76225, 0.00, 0.00
 07 Feb 2015, 76225, 0.00, 0.00
 08 Feb 2015, 76225, 0.00, 0.00
 09 Feb 2015, 76225, 0.00, 0.00
 10 Feb 2015, 76225, 0.00, 0.00
 11 Feb 2015, 76225, 0.00, 0.00
 12 Feb 2015, 76225, 0.00, 0.00
 13 Feb 2015, 76225, 0.00, 0.00
 14 Feb 2015, 76225, 0.00, 0.00
 15 Feb 2015, 76225, 0.00, 0.00
 16 Feb 2015, 76225, 0.00, 0.00
 17 Feb 2015, 76225, 0.00, 0.00
 18 Feb 2015, 76225, 0.00, 0.00
 20 Feb 2015, 76225, 0.00, 0.00
 21 Feb 2015, 76225, 0.00, 0.00
 22 Feb 2015, 76225, 0.00, 0.00
 23 Feb 2015, 76225, 0.00, 0.00
 24 Feb 2015, 76225, 0.00, 0.00
 25 Feb 2015, 76225, 0.00, 0.00
 26 Feb 2015, 76225, 0.00, 0.00
 27 Feb 2015, 76225, 0.00, 0.00
 28 Feb 2015, 76225, 0.00, 0.00
 01 Mar 2015, 76225, 0.00, 0.00
 02 Mar 2015, 76225, 0.00, 0.00
 03 Mar 2015, 76225, 0.00, 0.00
 04 Mar 2015, 76225, 0.00, 0.00
 06 Mar 2015, 76225, 0.00, 0.00
 07 Mar 2015, 76225, 0.00, 0.00
 08 Mar 2015, 76225, 0.00, 0.00
 09 Mar 2015, 76225, 10.48, -175.08
 10 Mar 2015, 76225, 6.02, -177.82
 11 Mar 2015, 76225, 0.00, 0.00
 12 Mar 2015, 76225, 0.00, 0.00
 13 Mar 2015, 76225, 0.00, 0.00
 14 Mar 2015, 76225, 15.39, -134.84
 15 Mar 2015, 76225, 0.00, 0.00
 16 Mar 2015, 76225, 0.00, 0.00
 17 Mar 2015, 76225, 0.00, 0.00
 18 Mar 2015, 76225, 0.00, 0.00
 19 Mar 2015, 76225, 0.00, 0.00
 20 Mar 2015, 76225, 0.00, 0.00
 21 Mar 2015, 76225, 1.40, -17.45
 22 Mar 2015, 76225, 0.00, 0.00
 23 Mar 2015, 76225, 0.00, 0.00
 24 Mar 2015, 76225, 0.00, 0.00
 25 Mar 2015, 76225, 0.00, 0.00
 26 Mar 2015, 76225, 0.00, 0.00
 27 Mar 2015, 76225, 0.00, 0.00
 28 Mar 2015, 76225, 0.00, 0.00
 29 Mar 2015, 76225, 0.00, 0.00
 30 Mar 2015, 76225, 0.00, 0.00
 31 Mar 2015, 76225, 0.00, 0.00
 01 Apr 2015, 76225, 0.00, 0.00
 02 Apr 2015, 76225, 0.00, 0.00
 03 Apr 2015, 76225, 0.00, 0.00
 04 Apr 2015, 76225, 0.00, 0.00
 06 Apr 2015, 76225, 0.00, 0.00
 07 Apr 2015, 76225, 0.00, 0.00
 08 Apr 2015, 76225, 0.00, 0.00
 09 Apr 2015, 76225, 0.00, 0.00
 10 Apr 2015, 76225, 0.00, 0.00
 11 Apr 2015, 76225, 0.00, 0.00
 12 Apr 2015, 76225, 2.13, -250.81
 13 Apr 2015, 76225, 0.00, 0.00
 14 Apr 2015, 76225, 0.00, 0.00
 15 Apr 2015, 76225, 0.00, 0.00
 16 Apr 2015, 76225, 0.00, 0.00
 17 Apr 2015, 76225, 0.00, 0.00
 18 Apr 2015, 76225, 0.00, 0.00
 19 Apr 2015, 76225, 0.00, 0.00
 20 Apr 2015, 76225, 0.00, 0.00
 21 Apr 2015, 76225, 0.00, 0.00
 22 Apr 2015, 76225, 0.00, 0.00
 23 Apr 2015, 76225, 0.00, 0.00
 24 Apr 2015, 76225, 0.00, 0.00
 25 Apr 2015, 76225, 0.00, 0.00
 26 Apr 2015, 76225, 0.00, 0.00
 27 Apr 2015, 76225, 0.00, 0.00
 28 Apr 2015, 76225, 0.00, 0.00
 29 Apr 2015, 76225, 0.00, 0.00
 01 May 2015, 76225, 0.00, 0.00
 02 May 2015, 76225, 0.00, 0.00
 03 May 2015, 76225, 0.00, 0.00
 04 May 2015, 76225, 0.00, 0.00
 05 May 2015, 76225, 0.00, 0.00
 06 May 2015, 76225, 0.00, 0.00
 07 May 2015, 76225, 0.00, 0.00
 08 May 2015, 76225, 0.00, 0.00
 09 May 2015, 76225, 0.00, 0.00
 10 May 2015, 76225, 0.00, 0.00
 11 May 2015, 76225, 0.00, 0.00
 12 May 2015, 76225, 83.54, -216.91
 13 May 2015, 76225, 0.00, 0.00
 14 May 2015, 76225, 0.00, 0.00
 15 May 2015, 76225, 0.00, 0.00
 16 May 2015, 76225, 0.00, 0.00
 17 May 2015, 76225, 0.00, 0.00
 18 May 2015, 76225, 0.00, 0.00
 19 May 2015, 76225, 0.00, 0.00
 20 May 2015, 76225, 0.00, 0.00
 21 May 2015, 76225, 0.00, 0.00
 22 May 2015, 76225, 0.00, 0.00
 23 May 2015, 76225, 0.00, 0.00
 25 May 2015, 76225, 0.00, 0.00
 26 May 2015, 76225, 0.00, 0.00
 27 May 2015, 76225, 0.00, 0.00
 28 May 2015, 76225, 0.00, 0.00
 29 May 2015, 76225, 0.00, 0.00
 30 May 2015, 76225, 19.82, -270.36
 31 May 2015, 76225, 24.00, -243.90
 01 Jun 2015, 76225, 0.00, 0.00
 02 Jun 2015, 76225, 0.00, 0.00
 03 Jun 2015, 76225, 0.00, 0.00
 04 Jun 2015, 76225, 0.00, 0.00
 05 Jun 2015, 76225, 0.00, 0.00
 06 Jun 2015, 76225, 0.00, 0.00
 07 Jun 2015, 76225, 0.00, 0.00
 08 Jun 2015, 76225, 6.05, -164.19
 09 Jun 2015, 76225, 20.50, -110.72
 10 Jun 2015, 76225, 457.87, -186.33
 11 Jun 2015, 76225, 18.60, -280.52
 12 Jun 2015, 76225, 0.00, 0.00
 13 Jun 2015, 76225, 0.00, 0.00
 14 Jun 2015, 76225, 0.00, 0.00
 15 Jun 2015, 76225, 74.52, -338.56
 16 Jun 2015, 76225, 0.00, 0.00
 17 Jun 2015, 76225, 81.28, -83.81
 18 Jun 2015, 76225, 0.00, 0.00
 19 Jun 2015, 76225, 24.22, -325.23
 20 Jun 2015, 76225, 142.50, -307.60
 21 Jun 2015, 76225, 194.94, -302.02
 22 Jun 2015, 76225, 309.75, -265.29
 23 Jun 2015, 76225, 82.56, -237.27
 24 Jun 2015, 76225, 433.63, -18.96
 25 Jun 2015, 76225, 478.57, -39.51
 26 Jun 2015, 76225, 172.20, -189.31
 27 Jun 2015, 76225, 87.93, -173.38
 28 Jun 2015, 76225, 82.80, -60.91
 29 Jun 2015, 76225, 58.56, -88.65
 30 Jun 2015, 76225, 141.99, -162.80
 01 Jul 2015, 76225, 0.00, 0.00
 02 Jul 2015, 76225, 69.70, -217.24
 03 Jul 2015, 76225, 0.00, 0.00
 04 Jul 2015, 76225, 200.64, -130.56
 05 Jul 2015, 76225, 185.93, -175.46
 06 Jul 2015, 76225, 206.62, -144.02
 07 Jul 2015, 76225, 216.59, -213.90
 08 Jul 2015, 76225, 7.49, -138.70
 09 Jul 2015, 76225, 954.81, -68.71
 10 Jul 2015, 76225, 487.28, -125.70
 11 Jul 2015, 76225, 873.27, -113.82
 12 Jul 2015, 76225, 55.38, -298.34
 13 Jul 2015, 76225, 90.23, -294.50
 14 Jul 2015, 76225, 14.58, -326.81
 16 Jul 2015, 76225, 72.57, -233.69
 17 Jul 2015, 76225, 0.00, 0.00
 18 Jul 2015, 76225, 14.79, -264.07
 19 Jul 2015, 76225, 43.27, -196.97
 20 Jul 2015, 76225, 21.35, -235.24
 21 Jul 2015, 76225, 0.00, -279.36
 22 Jul 2015, 76225, 135.88, -88.68
 23 Jul 2015, 76225, 72.88, -159.98
 24 Jul 2015, 76225, 52.23, -226.22
 26 Jul 2015, 76225, 0.00, 0.00
 27 Jul 2015, 76225, 364.65, -75.85
 28 Jul 2015, 76225, 7.15, -354.85
 29 Jul 2015, 76225, 9.00, -205.20
 30 Jul 2015, 76225, 21.36, -338.07
 31 Jul 2015, 76225, 47.03, -258.09
 01 Aug 2015, 76225, 47.17, -298.31
 02 Aug 2015, 76225, 101.79, -188.66
 03 Aug 2015, 76225, 69.28, -207.76
 04 Aug 2015, 76225, 131.04, -190.93
 05 Aug 2015, 76225, 554.72, -179.58
 06 Aug 2015, 76225, 29.95, -292.12
 07 Aug 2015, 76225, 19.35, -362.97
 08 Aug 2015, 76225, 0.26, -334.82
 09 Aug 2015, 76225, 263.44, -242.27
 10 Aug 2015, 76225, 181.15, -196.45
 11 Aug 2015, 76225, 0.00, -270.46
 12 Aug 2015, 76225, 0.00, 0.00
 13 Aug 2015, 76225, 15.73, -146.01
 14 Aug 2015, 76225, 0.00, 0.00
 15 Aug 2015, 76225, 11.44, -288.56
 16 Aug 2015, 76225, 53.32, -206.14
 17 Aug 2015, 76225, 45.20, -262.83
 18 Aug 2015, 76225, 0.00, 0.00
 19 Aug 2015, 76225, 0.00, 0.00
 20 Aug 2015, 76225, 31.66, -304.45
 21 Aug 2015, 76225, 26.27, -308.68
 24 Aug 2015, 76225, 254.85, -130.04
 25 Aug 2015, 76225, 124.83, -210.51
 26 Aug 2015, 76225, 3.78, -193.74
 27 Aug 2015, 76225, 3.32, -240.29
 28 Aug 2015, 76225, 0.00, 0.00
 29 Aug 2015, 76225, 0.12, -366.73
 31 Aug 2015, 76225, 0.00, 0.00
 01 Sep 2015, 76225, 0.00, 0.00
 02 Sep 2015, 76225, 0.00, 0.00
 03 Sep 2015, 76225, 0.00, 0.00
 04 Sep 2015, 76225, 1.22, -282.90
 05 Sep 2015, 76225, 19.71, -211.08
 07 Sep 2015, 76225, 30.50, -252.54
 08 Sep 2015, 76225, 80.03, -208.96
 09 Sep 2015, 76225, 35.70, -200.16
 10 Sep 2015, 76225, 152.19, -125.04
 11 Sep 2015, 76225, 0.00, 0.00
 12 Sep 2015, 76225, 100.03, -68.61
 13 Sep 2015, 76225, 0.00, 0.00
 14 Sep 2015, 76225, 14.26, -135.56
 15 Sep 2015, 76225, 33.62, -133.15
 16 Sep 2015, 76225, 36.76, -161.78
 17 Sep 2015, 76225, 0.00, 0.00
 18 Sep 2015, 76225, 0.42, -342.92
 19 Sep 2015, 76225, 109.60, -216.40
 20 Sep 2015, 76225, 0.00, 0.00
 21 Sep 2015, 76225, 89.87, -65.64
 22 Sep 2015, 76225, 0.00, 0.00
 23 Sep 2015, 76225, 425.72, -108.98
 24 Sep 2015, 76225, 163.50, -231.41
 25 Sep 2015, 76225, 0.00, 0.00
 26 Sep 2015, 76225, 0.00, 0.00
 27 Sep 2015, 76225, 0.00, 0.00
 28 Sep 2015, 76225, 0.00, 0.00
 29 Sep 2015, 76225, 0.00, 0.00
 30 Sep 2015, 76225, 0.00, 0.00
 01 Oct 2015, 76225, 0.00, 0.00
 02 Oct 2015, 76225, 0.00, 0.00
 03 Oct 2015, 76225, 4.05, -320.56
 04 Oct 2015, 76225, 0.00, 0.00
 05 Oct 2015, 76225, 28.12, -130.93
 06 Oct 2015, 76225, 548.63, -43.88
 07 Oct 2015, 76225, 91.89, -9.31
 08 Oct 2015, 76225, 305.62, -110.97
 09 Oct 2015, 76225, 0.00, 0.00
 10 Oct 2015, 76225, 0.00, 0.00
 11 Oct 2015, 76225, 0.00, 0.00
 12 Oct 2015, 76225, 0.00, 0.00
 13 Oct 2015, 76225, 0.00, 0.00
 14 Oct 2015, 76225, 0.00, 0.00
 15 Oct 2015, 76225, 0.00, 0.00
 16 Oct 2015, 76225, 0.00, 0.00
 17 Oct 2015, 76225, 0.00, 0.00
 18 Oct 2015, 76225, 0.00, 0.00
 19 Oct 2015, 76225, 163.91, -206.02
 20 Oct 2015, 76225, 133.89, -159.99
 21 Oct 2015, 76225, 0.00, 0.00
 22 Oct 2015, 76225, 0.00, 0.00
 23 Oct 2015, 76225, 0.00, 0.00
 24 Oct 2015, 76225, 0.00, 0.00
 25 Oct 2015, 76225, 0.00, 0.00
 26 Oct 2015, 76225, 0.00, 0.00
 27 Oct 2015, 76225, 0.00, 0.00
 28 Oct 2015, 76225, 0.00, 0.00
 29 Oct 2015, 76225, 0.00, 0.00
 30 Oct 2015, 76225, 33.72, -45.41
 31 Oct 2015, 76225, 0.00, 0.00
 02 Nov 2015, 76225, 0.00, 0.00
 03 Nov 2015, 76225, 0.00, 0.00
 04 Nov 2015, 76225, 0.00, 0.00
 05 Nov 2015, 76225, 0.00, 0.00
 06 Nov 2015, 76225, 0.00, 0.00
 07 Nov 2015, 76225, 0.00, 0.00
 09 Nov 2015, 76225, 0.00, 0.00
 10 Nov 2015, 76225, 0.00, 0.00
 11 Nov 2015, 76225, 0.00, 0.00
 12 Nov 2015, 76225, 0.00, 0.00
 13 Nov 2015, 76225, 0.00, 0.00
 14 Nov 2015, 76225, 0.00, 0.00
 16 Nov 2015, 76225, 0.00, 0.00
 17 Nov 2015, 76225, 0.00, 0.00
 18 Nov 2015, 76225, 0.00, 0.00
 19 Nov 2015, 76225, 0.00, 0.00
 20 Nov 2015, 76225, 0.00, 0.00
 21 Nov 2015, 76225, 0.00, 0.00
 23 Nov 2015, 76225, 0.00, 0.00
 24 Nov 2015, 76225, 0.00, 0.00
 25 Nov 2015, 76225, 0.00, 0.00
 26 Nov 2015, 76225, 0.00, 0.00
 27 Nov 2015, 76225, 15.93, -220.16
 28 Nov 2015, 76225, 11.50, -180.43
 30 Nov 2015, 76225, 0.00, 0.00
 01 Dec 2015, 76225, 0.00, 0.00
 02 Dec 2015, 76225, 0.00, 0.00
 03 Dec 2015, 76225, 0.00, 0.00
 04 Dec 2015, 76225, 0.00, 0.00
 05 Dec 2015, 76225, 0.00, 0.00
 07 Dec 2015, 76225, 0.00, 0.00
 08 Dec 2015, 76225, 0.00, 0.00
 09 Dec 2015, 76225, 0.00, 0.00
 10 Dec 2015, 76225, 0.00, 0.00
 11 Dec 2015, 76225, 0.00, 0.00
 14 Dec 2015, 76225, 0.00, 0.00
 15 Dec 2015, 76225, 0.00, 0.00
 16 Dec 2015, 76225, 0.00, 0.00
 17 Dec 2015, 76225, 0.00, 0.00
 18 Dec 2015, 76225, 0.00, 0.00
 19 Dec 2015, 76225, 0.00, 0.00
 21 Dec 2015, 76225, 0.00, 0.00
 24 Dec 2015, 76225, 0.00, 0.00
 26 Dec 2015, 76225, 0.00, 0.00
 28 Dec 2015, 76225, 0.00, 0.00
 29 Dec 2015, 76225, 0.00, 0.00
 30 Dec 2015, 76225, 0.00, 0.00
 31 Dec 2015, 76225, 0.00, 0.00
